ID,Title,Acceptance,Difficulty,Locked
593,Valid Square,41.7%,Medium,False
594,Longest Harmonious Subsequence,45.3%,Easy,False
595,Big Countries,76.0%,Easy,False
596,Classes More Than 5 Students,37.2%,Easy,False
597,Friend Requests I: Overall Acceptance Rate,40.7%,Easy,True
598,Range Addition II,49.2%,Easy,False
599,Minimum Index Sum of Two Lists,49.6%,Easy,False
600,Non-negative Integers without Consecutive Ones,33.5%,Hard,False
601,Human Traffic of Stadium,39.5%,Hard,False
602,Friend Requests II: Who Has the Most Friends,49.3%,Medium,True
603,Consecutive Available Seats,61.5%,Easy,True
604,Design Compressed String Iterator,36.2%,Easy,True
605,Can Place Flowers,31.6%,Easy,False
606,Construct String from Binary Tree,53.0%,Easy,False
607,Sales Person,60.5%,Easy,True
608,Tree Node,63.0%,Medium,True
609,Find Duplicate File in System,57.9%,Medium,False
610,Triangle Judgement,63.8%,Easy,True
611,Valid Triangle Number,47.4%,Medium,False
612,Shortest Distance in a Plane,57.3%,Medium,True
613,Shortest Distance in a Line,75.5%,Easy,True
614,Second Degree Follower,27.1%,Medium,True
615,Average Salary: Departments VS Company,42.7%,Hard,True
616,Add Bold Tag in String,41.0%,Medium,True
617,Merge Two Binary Trees,72.6%,Easy,False
618,Students Report By Geography,48.0%,Hard,True
619,Biggest Single Number,41.2%,Easy,True
620,Not Boring Movies,64.9%,Easy,False
621,Task Scheduler,47.5%,Medium,False
622,Design Circular Queue,42.0%,Medium,False
623,Add One Row to Tree,48.5%,Medium,False
624,Maximum Distance in Arrays,38.4%,Easy,True
625,Minimum Factorization,32.6%,Medium,True
626,Exchange Seats,58.5%,Medium,False
627,Swap Salary,72.8%,Easy,False
628,Maximum Product of Three Numbers,46.8%,Easy,False
629,K Inverse Pairs Array,30.4%,Hard,False
630,Course Schedule III,32.8%,Hard,False
631,Design Excel Sum Formula,31.0%,Hard,True
632,Smallest Range Covering Elements from K Lists,50.6%,Hard,False
633,Sum of Square Numbers,32.5%,Easy,False
634,Find the Derangement of An Array,39.6%,Medium,True
635,Design Log Storage System,57.3%,Medium,True
636,Exclusive Time of Functions,50.6%,Medium,False
637,Average of Levels in Binary Tree,61.1%,Easy,False
638,Shopping Offers,50.4%,Medium,False
639,Decode Ways II,25.9%,Hard,False
640,Solve the Equation,41.2%,Medium,False
641,Design Circular Deque,51.0%,Medium,False
642,Design Search Autocomplete System,42.4%,Hard,True
643,Maximum Average Subarray I,40.8%,Easy,False
644,Maximum Average Subarray II,30.7%,Hard,True
645,Set Mismatch,41.5%,Easy,False
646,Maximum Length of Pair Chain,50.5%,Medium,False
647,Palindromic Substrings,59.1%,Medium,False
648,Replace Words,54.7%,Medium,False
649,Dota2 Senate,38.6%,Medium,False
650,2 Keys Keyboard,48.1%,Medium,False
651,4 Keys Keyboard,51.6%,Medium,True
652,Find Duplicate Subtrees,48.6%,Medium,False
653,Two Sum IV - Input is a BST,54.3%,Easy,False
654,Maximum Binary Tree,78.2%,Medium,False
655,Print Binary Tree,53.6%,Medium,False
656,Coin Path,28.1%,Hard,True
657,Robot Return to Origin,72.8%,Easy,False
658,Find K Closest Elements,39.6%,Medium,False
659,Split Array into Consecutive Subsequences,42.7%,Medium,False
660,Remove 9,53.1%,Hard,True
661,Image Smoother,50.4%,Easy,False
662,Maximum Width of Binary Tree,39.6%,Medium,False
663,Equal Tree Partition,38.9%,Medium,True
664,Strange Printer,38.9%,Hard,False
665,Non-decreasing Array,19.5%,Easy,False
666,Path Sum IV,54.2%,Medium,True
667,Beautiful Arrangement II,53.4%,Medium,False
668,Kth Smallest Number in Multiplication Table,44.3%,Hard,False
669,Trim a Binary Search Tree,61.7%,Easy,False
670,Maximum Swap,41.6%,Medium,False
671,Second Minimum Node In a Binary Tree,43.0%,Easy,False
672,Bulb Switcher II,50.5%,Medium,False
673,Number of Longest Increasing Subsequence,34.9%,Medium,False
674,Longest Continuous Increasing Subsequence,45.2%,Easy,False
675,Cut Off Trees for Golf Event,33.4%,Hard,False
676,Implement Magic Dictionary,52.9%,Medium,False
677,Map Sum Pairs,52.7%,Medium,False
678,Valid Parenthesis String,33.8%,Medium,False
679,24 Game,44.8%,Hard,False
680,Valid Palindrome II,35.7%,Easy,False
681,Next Closest Time,43.8%,Medium,True
682,Baseball Game,62.5%,Easy,False
683,K Empty Slots,35.1%,Hard,True
684,Redundant Connection,55.2%,Medium,False
685,Redundant Connection II,31.9%,Hard,False
686,Repeated String Match,32.0%,Easy,False
687,Longest Univalue Path,35.1%,Easy,False
688,Knight Probability in Chessboard,47.1%,Medium,False
689,Maximum Sum of 3 Non-Overlapping Subarrays,45.0%,Hard,False
690,Employee Importance,55.7%,Easy,False
691,Stickers to Spell Word,41.3%,Hard,False
692,Top K Frequent Words,49.1%,Medium,False
693,Binary Number with Alternating Bits,58.8%,Easy,False
694,Number of Distinct Islands,54.2%,Medium,True
695,Max Area of Island,60.4%,Medium,False
696,Count Binary Substrings,55.0%,Easy,False
697,Degree of an Array,52.8%,Easy,False
698,Partition to K Equal Sum Subsets,44.4%,Medium,False
699,Falling Squares,41.0%,Hard,False
700,Search in a Binary Search Tree,70.4%,Easy,False
701,Insert into a Binary Search Tree,78.6%,Medium,False
702,Search in a Sorted Array of Unknown Size,63.6%,Medium,True
703,Kth Largest Element in a Stream,48.2%,Easy,False
704,Binary Search,50.4%,Easy,False
705,Design HashSet,58.1%,Easy,False
706,Design HashMap,58.7%,Easy,False
707,Design Linked List,21.9%,Medium,False
708,Insert into a Sorted Circular Linked List,31.1%,Medium,True
709,To Lower Case,78.4%,Easy,False
710,Random Pick with Blacklist,32.5%,Hard,False
711,Number of Distinct Islands II,48.1%,Hard,True
712,Minimum ASCII Delete Sum for Two Strings,56.8%,Medium,False
713,Subarray Product Less Than K,38.4%,Medium,False
714,Best Time to Buy and Sell Stock with Transaction Fee,52.9%,Medium,False
715,Range Module,37.6%,Hard,False
716,Max Stack,42.0%,Easy,True
717,1-bit and 2-bit Characters,49.1%,Easy,False
718,Maximum Length of Repeated Subarray,48.4%,Medium,False
719,Find K-th Smallest Pair Distance,30.4%,Hard,False
720,Longest Word in Dictionary,47.0%,Easy,False
721,Accounts Merge,45.3%,Medium,False
722,Remove Comments,33.1%,Medium,False
723,Candy Crush,66.8%,Medium,True
724,Find Pivot Index,42.8%,Easy,False
725,Split Linked List in Parts,50.7%,Medium,False
726,Number of Atoms,46.9%,Hard,False
727,Minimum Window Subsequence,40.5%,Hard,True
728,Self Dividing Numbers,72.8%,Easy,False
729,My Calendar I,50.0%,Medium,False
730,Count Different Palindromic Subsequences,41.1%,Hard,False
731,My Calendar II,47.5%,Medium,False
732,My Calendar III,58.3%,Hard,False
733,Flood Fill,53.0%,Easy,False
734,Sentence Similarity,41.6%,Easy,True
735,Asteroid Collision,39.9%,Medium,False
736,Parse Lisp Expression,46.0%,Hard,False
737,Sentence Similarity II,44.9%,Medium,True
738,Monotone Increasing Digits,43.4%,Medium,False
739,Daily Temperatures,61.9%,Medium,False
740,Delete and Earn,47.8%,Medium,False
741,Cherry Pickup,33.0%,Hard,False
742,Closest Leaf in a Binary Tree,41.9%,Medium,True
743,Network Delay Time,45.2%,Medium,False
744,Find Smallest Letter Greater Than Target,44.9%,Easy,False
745,Prefix and Suffix Search,32.9%,Hard,False
746,Min Cost Climbing Stairs,49.0%,Easy,False
747,Largest Number At Least Twice of Others,41.1%,Easy,False
748,Shortest Completing Word,55.8%,Easy,False
749,Contain Virus,42.9%,Hard,False
750,Number Of Corner Rectangles,66.1%,Medium,True
751,IP to CIDR,61.8%,Easy,True
752,Open the Lock,49.1%,Medium,False
753,Cracking the Safe,49.4%,Hard,False
754,Reach a Number,34.0%,Medium,False
755,Pour Water,42.9%,Medium,True
756,Pyramid Transition Matrix,53.5%,Medium,False
757,Set Intersection Size At Least Two,38.3%,Hard,False
758,Bold Words in String,44.2%,Easy,True
759,Employee Free Time,64.3%,Hard,True
760,Find Anagram Mappings,80.4%,Easy,True
761,Special Binary String,53.8%,Hard,False
762,Prime Number of Set Bits in Binary Representation,61.6%,Easy,False
763,Partition Labels,73.4%,Medium,False
764,Largest Plus Sign,45.3%,Medium,False
765,Couples Holding Hands,53.3%,Hard,False
766,Toeplitz Matrix,63.5%,Easy,False
767,Reorganize String,46.2%,Medium,False
768,Max Chunks To Make Sorted II,47.7%,Hard,False
769,Max Chunks To Make Sorted,53.6%,Medium,False
770,Basic Calculator IV,47.2%,Hard,False
771,Jewels and Stones,84.5%,Easy,False
772,Basic Calculator III,40.8%,Hard,True
773,Sliding Puzzle,56.7%,Hard,False
774,Minimize Max Distance to Gas Station,45.1%,Hard,True
775,Global and Local Inversions,41.0%,Medium,False
776,Split BST,54.0%,Medium,True
777,Swap Adjacent in LR String,34.6%,Medium,False
778,Swim in Rising Water,50.4%,Hard,False
779,K-th Symbol in Grammar,37.3%,Medium,False
780,Reaching Points,28.9%,Hard,False
781,Rabbits in Forest,53.3%,Medium,False
782,Transform to Chessboard,41.0%,Hard,False
783,Minimum Distance Between BST Nodes,51.4%,Easy,False
784,Letter Case Permutation,61.5%,Easy,False
785,Is Graph Bipartite?,45.8%,Medium,False
786,K-th Smallest Prime Fraction,41.6%,Hard,False
787,Cheapest Flights Within K Stops,37.1%,Medium,False
788,Rotated Digits,56.3%,Easy,False
789,Escape The Ghosts,56.7%,Medium,False
790,Domino and Tromino Tiling,37.8%,Medium,False
791,Custom Sort String,64.2%,Medium,False
792,Number of Matching Subsequences,46.4%,Medium,False
793,Preimage Size of Factorial Zeroes Function,39.9%,Hard,False
794,Valid Tic-Tac-Toe State,32.1%,Medium,False
795,Number of Subarrays with Bounded Maximum,45.1%,Medium,False
796,Rotate String,49.4%,Easy,False
797,All Paths From Source to Target,73.2%,Medium,False
798,Smallest Rotation with Highest Score,42.9%,Hard,False
799,Champagne Tower,34.9%,Medium,False
800,Similar RGB Color,60.9%,Easy,True
801,Minimum Swaps To Make Sequences Increasing,37.9%,Medium,False
802,Find Eventual Safe States,46.9%,Medium,False
803,Bricks Falling When Hit,29.9%,Hard,False
804,Unique Morse Code Words,76.0%,Easy,False
805,Split Array With Same Average,25.8%,Hard,False
806,Number of Lines To Write String,64.0%,Easy,False
807,Max Increase to Keep City Skyline,82.8%,Medium,False
808,Soup Servings,38.9%,Medium,False
809,Expressive Words,46.4%,Medium,False
810,Chalkboard XOR Game,47.0%,Hard,False
811,Subdomain Visit Count,67.7%,Easy,False
812,Largest Triangle Area,57.3%,Easy,False
813,Largest Sum of Averages,48.2%,Medium,False
814,Binary Tree Pruning,73.0%,Medium,False
815,Bus Routes,41.7%,Hard,False
816,Ambiguous Coordinates,46.1%,Medium,False
817,Linked List Components,56.4%,Medium,False
818,Race Car,37.4%,Hard,False
819,Most Common Word,43.7%,Easy,False
820,Short Encoding of Words,49.3%,Medium,False
821,Shortest Distance to a Character,65.5%,Easy,False
822,Card Flipping Game,42.1%,Medium,False
823,Binary Trees With Factors,34.7%,Medium,False
824,Goat Latin,60.9%,Easy,False
825,Friends Of Appropriate Ages,41.0%,Medium,False
826,Most Profit Assigning Work,37.5%,Medium,False
827,Making A Large Island,44.5%,Hard,False
828,Unique Letter String,43.2%,Hard,False
829,Consecutive Numbers Sum,36.0%,Hard,False
830,Positions of Large Groups,48.7%,Easy,False
831,Masking Personal Information,43.1%,Medium,False
832,Flipping an Image,74.6%,Easy,False
833,Find And Replace in String,49.0%,Medium,False
834,Sum of Distances in Tree,42.3%,Hard,False
835,Image Overlap,55.9%,Medium,False
836,Rectangle Overlap,48.4%,Easy,False
837,New 21 Game,33.6%,Medium,False
838,Push Dominoes,46.6%,Medium,False
839,Similar String Groups,36.7%,Hard,False
840,Magic Squares In Grid,36.6%,Easy,False
841,Keys and Rooms,62.6%,Medium,False
842,Split Array into Fibonacci Sequence,35.7%,Medium,False
843,Guess the Word,45.4%,Hard,False
844,Backspace String Compare,47.2%,Easy,False
845,Longest Mountain in Array,35.8%,Medium,False
846,Hand of Straights,51.5%,Medium,False
847,Shortest Path Visiting All Nodes,50.4%,Hard,False
848,Shifting Letters,43.3%,Medium,False
849,Maximize Distance to Closest Person,42.1%,Easy,False
850,Rectangle Area II,46.3%,Hard,False
851,Loud and Rich,50.2%,Medium,False
852,Peak Index in a Mountain Array,70.8%,Easy,False
853,Car Fleet,41.8%,Medium,False
854,K-Similar Strings,37.4%,Hard,False
855,Exam Room,41.1%,Medium,False
856,Score of Parentheses,58.8%,Medium,False
857,Minimum Cost to Hire K Workers,49.0%,Hard,False
858,Mirror Reflection,53.0%,Medium,False
859,Buddy Strings,27.8%,Easy,False
860,Lemonade Change,51.0%,Easy,False
861,Score After Flipping Matrix,71.3%,Medium,False
862,Shortest Subarray with Sum at Least K,23.2%,Hard,False
863,All Nodes Distance K in Binary Tree,52.7%,Medium,False
864,Shortest Path to Get All Keys,39.3%,Hard,False
865,Smallest Subtree with all the Deepest Nodes,59.3%,Medium,False
866,Prime Palindrome,23.7%,Medium,False
867,Transpose Matrix,63.5%,Easy,False
868,Binary Gap,60.1%,Easy,False
869,Reordered Power of 2,52.1%,Medium,False
870,Advantage Shuffle,44.2%,Medium,False
871,Minimum Number of Refueling Stops,30.8%,Hard,False
872,Leaf-Similar Trees,64.7%,Easy,False
873,Length of Longest Fibonacci Subsequence,47.5%,Medium,False
874,Walking Robot Simulation,34.0%,Easy,False
875,Koko Eating Bananas,49.4%,Medium,False
876,Middle of the Linked List,66.1%,Easy,False
877,Stone Game,62.9%,Medium,False
878,Nth Magical Number,27.5%,Hard,False
879,Profitable Schemes,38.4%,Hard,False
880,Decoded String at Index,23.8%,Medium,False
881,Boats to Save People,45.3%,Medium,False
882,Reachable Nodes In Subdivided Graph,39.6%,Hard,False
883,Projection Area of 3D Shapes,66.8%,Easy,False
884,Uncommon Words from Two Sentences,61.9%,Easy,False
885,Spiral Matrix III,67.5%,Medium,False
886,Possible Bipartition,42.1%,Medium,False
887,Super Egg Drop,26.1%,Hard,False
888,Fair Candy Swap,57.1%,Easy,False
889,Construct Binary Tree from Preorder and Postorder Traversal,64.3%,Medium,False
890,Find and Replace Pattern,72.7%,Medium,False
891,Sum of Subsequence Widths,30.9%,Hard,False
892,Surface Area of 3D Shapes,57.8%,Easy,False
893,Groups of Special-Equivalent Strings,64.8%,Easy,False
894,All Possible Full Binary Trees,72.8%,Medium,False
895,Maximum Frequency Stack,59.5%,Hard,False
896,Monotonic Array,56.8%,Easy,False
897,Increasing Order Search Tree,67.3%,Easy,False
898,Bitwise ORs of Subarrays,36.4%,Medium,False
899,Orderly Queue,50.5%,Hard,False
900,RLE Iterator,52.5%,Medium,False
901,Online Stock Span,52.9%,Medium,False
902,Numbers At Most N Given Digit Set,30.5%,Hard,False
903,Valid Permutations for DI Sequence,48.0%,Hard,False
904,Fruit Into Baskets,42.1%,Medium,False
905,Sort Array By Parity,73.6%,Easy,False
906,Super Palindromes,31.9%,Hard,False
907,Sum of Subarray Minimums,30.5%,Medium,False
908,Smallest Range I,65.1%,Easy,False
909,Snakes and Ladders,37.0%,Medium,False
910,Smallest Range II,25.7%,Medium,False
911,Online Election,49.1%,Medium,False
912,Sort an Array,62.6%,Medium,False
913,Cat and Mouse,30.5%,Hard,False
914,X of a Kind in a Deck of Cards,34.0%,Easy,False
915,Partition Array into Disjoint Intervals,44.7%,Medium,False
916,Word Subsets,46.5%,Medium,False
917,Reverse Only Letters,57.1%,Easy,False
918,Maximum Sum Circular Subarray,33.9%,Medium,False
919,Complete Binary Tree Inserter,56.2%,Medium,False
920,Number of Music Playlists,45.4%,Hard,False
921,Minimum Add to Make Parentheses Valid,71.6%,Medium,False
922,Sort Array By Parity II,68.0%,Easy,False
923,3Sum With Multiplicity,35.2%,Medium,False
924,Minimize Malware Spread,41.5%,Hard,False
925,Long Pressed Name,44.7%,Easy,False
926,Flip String to Monotone Increasing,51.4%,Medium,False
927,Three Equal Parts,32.6%,Hard,False
928,Minimize Malware Spread II,40.0%,Hard,False
929,Unique Email Addresses,67.7%,Easy,False
930,Binary Subarrays With Sum,40.8%,Medium,False
931,Minimum Falling Path Sum,60.7%,Medium,False
932,Beautiful Array,56.5%,Medium,False
933,Number of Recent Calls,70.3%,Easy,False
934,Shortest Bridge,46.0%,Medium,False
935,Knight Dialer,43.2%,Medium,False
936,Stamping The Sequence,37.4%,Hard,False
937,Reorder Data in Log Files,53.6%,Easy,False
938,Range Sum of BST,79.2%,Easy,False
939,Minimum Area Rectangle,52.0%,Medium,False
940,Distinct Subsequences II,41.2%,Hard,False
941,Valid Mountain Array,35.6%,Easy,False
942,DI String Match,70.9%,Easy,False
943,Find the Shortest Superstring,41.7%,Hard,False
944,Delete Columns to Make Sorted,69.9%,Easy,False
945,Minimum Increment to Make Array Unique,44.9%,Medium,False
946,Validate Stack Sequences,58.7%,Medium,False
947,Most Stones Removed with Same Row or Column,54.9%,Medium,False
948,Bag of Tokens,40.1%,Medium,False
949,Largest Time for Given Digits,35.5%,Easy,False
950,Reveal Cards In Increasing Order,73.2%,Medium,False
951,Flip Equivalent Binary Trees,65.6%,Medium,False
952,Largest Component Size by Common Factor,29.0%,Hard,False
953,Verifying an Alien Dictionary,55.1%,Easy,False
954,Array of Doubled Pairs,35.6%,Medium,False
955,Delete Columns to Make Sorted II,32.8%,Medium,False
956,Tallest Billboard,38.6%,Hard,False
957,Prison Cells After N Days,39.1%,Medium,False
958,Check Completeness of a Binary Tree,51.1%,Medium,False
959,Regions Cut By Slashes,64.9%,Medium,False
960,Delete Columns to Make Sorted III,53.5%,Hard,False
961,N-Repeated Element in Size 2N Array,72.9%,Easy,False
962,Maximum Width Ramp,43.7%,Medium,False
963,Minimum Area Rectangle II,48.6%,Medium,False
964,Least Operators to Express Number,43.4%,Hard,False
965,Univalued Binary Tree,67.2%,Easy,False
966,Vowel Spellchecker,45.9%,Medium,False
967,Numbers With Same Consecutive Differences,38.6%,Medium,False
968,Binary Tree Cameras,36.6%,Hard,False
969,Pancake Sorting,64.7%,Medium,False
970,Powerful Integers,39.7%,Easy,False
971,Flip Binary Tree To Match Preorder Traversal,44.4%,Medium,False
972,Equal Rational Numbers,41.3%,Hard,False
973,K Closest Points to Origin,61.6%,Medium,False
974,Subarray Sums Divisible by K,47.6%,Medium,False
975,Odd Even Jump,43.8%,Hard,False
976,Largest Perimeter Triangle,57.2%,Easy,False
977,Squares of a Sorted Array,72.2%,Easy,False
978,Longest Turbulent Subarray,46.1%,Medium,False
979,Distribute Coins in Binary Tree,68.1%,Medium,False
980,Unique Paths III,72.4%,Hard,False
981,Time Based Key-Value Store,51.8%,Medium,False
982,Triples with Bitwise AND Equal To Zero,55.4%,Hard,False
983,Minimum Cost For Tickets,58.2%,Medium,False
984,String Without AAA or BBB,35.9%,Medium,False
985,Sum of Even Numbers After Queries,62.1%,Easy,False
986,Interval List Intersections,65.1%,Medium,False
987,Vertical Order Traversal of a Binary Tree,34.1%,Medium,False
988,Smallest String Starting From Leaf,45.0%,Medium,False
989,Add to Array-Form of Integer,44.1%,Easy,False
990,Satisfiability of Equality Equations,42.4%,Medium,False
991,Broken Calculator,44.2%,Medium,False
992,Subarrays with K Different Integers,46.3%,Hard,False
993,Cousins in Binary Tree,52.1%,Easy,False
994,Rotting Oranges,47.1%,Easy,False
995,Minimum Number of K Consecutive Bit Flips,46.6%,Hard,False
996,Number of Squareful Arrays,47.5%,Hard,False
997,Find the Town Judge,49.8%,Easy,False
998,Maximum Binary Tree II,61.9%,Medium,False
999,Available Captures for Rook,66.0%,Easy,False
1000,Minimum Cost to Merge Stones,38.7%,Hard,False
1001,Grid Illumination,35.1%,Hard,False
1002,Find Common Characters,66.6%,Easy,False
1003,Check If Word Is Valid After Substitutions,53.9%,Medium,False
1004,Max Consecutive Ones III,56.4%,Medium,False
1005,Maximize Sum Of Array After K Negations,50.7%,Easy,False
1006,Clumsy Factorial,53.6%,Medium,False
1007,Minimum Domino Rotations For Equal Row,50.1%,Medium,False
1008,Construct Binary Search Tree from Preorder Traversal,75.0%,Medium,False
1009,Complement of Base 10 Integer,59.5%,Easy,False
1010,Pairs of Songs With Total Durations Divisible by 60,46.9%,Easy,False
1011,Capacity To Ship Packages Within D Days,56.4%,Medium,False
1012,Numbers With Repeated Digits,36.5%,Hard,False
1013,Partition Array Into Three Parts With Equal Sum,57.1%,Easy,False
1014,Best Sightseeing Pair,51.7%,Medium,False
1015,Smallest Integer Divisible by K,31.1%,Medium,False
1016,Binary String With Substrings Representing 1 To N,59.2%,Medium,False
1017,Convert to Base -2,58.0%,Medium,False
1018,Binary Prefix Divisible By 5,47.0%,Easy,False
1019,Next Greater Node In Linked List,56.7%,Medium,False
1020,Number of Enclaves,55.5%,Medium,False
1021,Remove Outermost Parentheses,76.6%,Easy,False
1022,Sum of Root To Leaf Binary Numbers,64.4%,Easy,False
1023,Camelcase Matching,55.5%,Medium,False
1024,Video Stitching,48.3%,Medium,False
1025,Divisor Game,65.6%,Easy,False
1026,Maximum Difference Between Node and Ancestor,62.6%,Medium,False
1027,Longest Arithmetic Sequence,53.1%,Medium,False
1028,Recover a Tree From Preorder Traversal,69.5%,Hard,False
1029,Two City Scheduling,55.6%,Easy,False
1030,Matrix Cells in Distance Order,64.8%,Easy,False
1031,Maximum Sum of Two Non-Overlapping Subarrays,55.9%,Medium,False
1032,Stream of Characters,46.3%,Hard,False
1033,Moving Stones Until Consecutive,39.6%,Easy,False
1034,Coloring A Border,43.9%,Medium,False
1035,Uncrossed Lines,53.3%,Medium,False
1036,Escape a Large Maze,35.7%,Hard,False
1037,Valid Boomerang,37.6%,Easy,False
1038,Binary Search Tree to Greater Sum Tree,79.1%,Medium,False
1039,Minimum Score Triangulation of Polygon,46.4%,Medium,False
1040,Moving Stones Until Consecutive II,51.7%,Medium,False
1041,Robot Bounded In Circle,47.5%,Medium,False
1042,Flower Planting With No Adjacent,48.1%,Easy,False
1043,Partition Array for Maximum Sum,63.4%,Medium,False
1044,Longest Duplicate Substring,25.0%,Hard,False
1045,Customers Who Bought All Products,68.3%,Medium,True
1046,Last Stone Weight,62.6%,Easy,False
1047,Remove All Adjacent Duplicates In String,66.2%,Easy,False
1048,Longest String Chain,52.8%,Medium,False
1049,Last Stone Weight II,42.7%,Medium,False
1050,Actors and Directors Who Cooperated At Least Three Times,71.8%,Easy,True
1051,Height Checker,68.5%,Easy,False
1052,Grumpy Bookstore Owner,54.2%,Medium,False
1053,Previous Permutation With One Swap,47.8%,Medium,False
1054,Distant Barcodes,40.6%,Medium,False
1055,Shortest Way to Form String,56.9%,Medium,True
1056,Confusing Number,50.3%,Easy,True
1057,Campus Bikes,58.2%,Medium,True
1058,Minimize Rounding Error to Meet Target,41.6%,Medium,True
1059,All Paths from Source Lead to Destination,45.4%,Medium,True
1060,Missing Element in Sorted Array,54.7%,Medium,True
1061,Lexicographically Smallest Equivalent String,64.1%,Medium,True
1062,Longest Repeating Substring,54.1%,Medium,True
1063,Number of Valid Subarrays,69.8%,Hard,True
1064,Fixed Point,69.0%,Easy,True
1065,Index Pairs of a String,59.1%,Easy,True
1066,Campus Bikes II,53.5%,Medium,True
1067,Digit Count in Range,37.8%,Hard,True
1068,Product Sales Analysis I,86.0%,Easy,True
1069,Product Sales Analysis II,85.1%,Easy,True
1070,Product Sales Analysis III,49.5%,Medium,True
1071,Greatest Common Divisor of Strings,53.6%,Easy,False
1072,Flip Columns For Maximum Number of Equal Rows,60.1%,Medium,False
1073,Adding Two Negabinary Numbers,33.4%,Medium,False
1074,Number of Submatrices That Sum to Target,60.4%,Hard,False
1075,Project Employees I,63.6%,Easy,True
1076,Project Employees II,53.4%,Easy,True
1077,Project Employees III,73.3%,Medium,True
1078,Occurrences After Bigram,64.5%,Easy,False
1079,Letter Tile Possibilities,74.6%,Medium,False
1080,Insufficient Nodes in Root to Leaf Paths,46.9%,Medium,False
1081,Smallest Subsequence of Distinct Characters,45.9%,Medium,False
1082,Sales Analysis I,71.8%,Easy,True
1083,Sales Analysis II,52.0%,Easy,True
1084,Sales Analysis III,55.1%,Easy,True
1085,Sum of Digits in the Minimum Number,74.5%,Easy,True
1086,High Five,77.2%,Easy,True
1087,Brace Expansion,61.6%,Medium,True
1088,Confusing Number II,40.1%,Hard,True
1089,Duplicate Zeros,58.7%,Easy,False
1090,Largest Values From Labels,58.2%,Medium,False
1091,Shortest Path in Binary Matrix,37.3%,Medium,False
1092,Shortest Common Supersequence,50.5%,Hard,False
1093,Statistics from a Large Sample,46.2%,Medium,False
1094,Car Pooling,56.7%,Medium,False
1095,Find in Mountain Array,35.4%,Hard,False
1096,Brace Expansion II,61.5%,Hard,False
1097,Game Play Analysis V,54.5%,Hard,True
1098,Unpopular Books,42.9%,Medium,True
1099,Two Sum Less Than K,60.4%,Easy,True
1100,Find K-Length Substrings With No Repeated Characters,71.7%,Medium,True
1101,The Earliest Moment When Everyone Become Friends,64.9%,Medium,True
1102,Path With Maximum Minimum Value,49.3%,Medium,True
1103,Distribute Candies to People,60.2%,Easy,False
1104,Path In Zigzag Labelled Binary Tree,70.9%,Medium,False
1105,Filling Bookcase Shelves,57.3%,Medium,False
1106,Parsing A Boolean Expression,58.2%,Hard,False
1107,New Users Daily Count,45.0%,Medium,True
1108,Defanging an IP Address,85.9%,Easy,False
1109,Corporate Flight Bookings,50.7%,Medium,False
1110,Delete Nodes And Return Forest,65.0%,Medium,False
1111,Maximum Nesting Depth of Two Valid Parentheses Strings,68.8%,Medium,False
1112,Highest Grade For Each Student,65.8%,Medium,True
1113,Reported Posts,62.3%,Easy,True
1114,Print in Order,62.9%,Easy,False
1115,Print FooBar Alternately,57.7%,Medium,False
1116,Print Zero Even Odd,54.0%,Medium,False
1117,Building H2O,50.9%,Medium,False
1118,Number of Days in a Month,56.8%,Easy,True
1119,Remove Vowels from a String,88.7%,Easy,True
1120,Maximum Average Subtree,61.9%,Medium,True
1121,Divide Array Into Increasing Sequences,55.9%,Hard,True
1122,Relative Sort Array,67.3%,Easy,False
1123,Lowest Common Ancestor of Deepest Leaves,65.4%,Medium,False
1124,Longest Well-Performing Interval,32.2%,Medium,False
1125,Smallest Sufficient Team,45.7%,Hard,False
1126,Active Businesses,71.1%,Medium,True
1127,User Purchase Platform,47.7%,Hard,True
1128,Number of Equivalent Domino Pairs,46.8%,Easy,False
1129,Shortest Path with Alternating Colors,37.8%,Medium,False
1130,Minimum Cost Tree From Leaf Values,64.7%,Medium,False
1131,Maximum of Absolute Value Expression,53.0%,Medium,False
1132,Reported Posts II,34.3%,Medium,True
1133,Largest Unique Number,66.7%,Easy,True
1134,Armstrong Number,77.9%,Easy,True
1135,Connecting Cities With Minimum Cost,56.2%,Medium,True
1136,Parallel Courses,60.7%,Hard,True
1137,N-th Tribonacci Number,57.1%,Easy,False
1138,Alphabet Board Path,46.0%,Medium,False
1139,Largest 1-Bordered Square,45.8%,Medium,False
1140,Stone Game II,60.5%,Medium,False
1141,User Activity for the Past 30 Days I,53.9%,Easy,True
1142,User Activity for the Past 30 Days II,34.9%,Easy,True
1143,Longest Common Subsequence,57.7%,Medium,False
1144,Decrease Elements To Make Array Zigzag,44.4%,Medium,False
1145,Binary Tree Coloring Game,50.5%,Medium,False
1146,Snapshot Array,35.7%,Medium,False
1147,Longest Chunked Palindrome Decomposition,57.9%,Hard,False
1148,Article Views I,74.8%,Easy,True
1149,Article Views II,47.8%,Medium,True
1150,Check If a Number Is Majority Element in a Sorted Array,60.4%,Easy,True
1151,Minimum Swaps to Group All 1's Together,58.6%,Medium,True
1152,Analyze User Website Visit Pattern,42.3%,Medium,True
1153,String Transforms Into Another String,34.8%,Hard,True
1154,Day of the Year,48.9%,Easy,False
1155,Number of Dice Rolls With Target Sum,49.7%,Medium,False
